Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt4385888,2026-02-08,2026-02-08,,"20センチュリー・ウーマン","20th Century Women",https://www.imdb.com/title/tt4385888/,映画,7.3,119,2016,"コメディ, ドラマ",51997,2017-06-03,"Mike Mills",,
2,tt0307901,2026-02-08,2026-02-08,,"25時","25th Hour",https://www.imdb.com/title/tt0307901/,映画,7.6,135,2002,"ドラマ",190852,2003-01-10,"Spike Lee",,
3,tt1673702,2026-02-08,2026-02-08,,"パリ猫ディノの夜","Une vie de chat",https://www.imdb.com/title/tt1673702/,映画,6.9,70,2010,"アニメーション, アドベンチャー, コメディ, 犯罪, ファミリー",12425,2013-07-13,"Jean-Loup Felicioli, Alain Gagnol",,
4,tt0344510,2026-02-08,2026-02-08,,"ロング・エンゲージメント","Un long dimanche de fiançailles",https://www.imdb.com/title/tt0344510/,映画,7.6,133,2004,"ドラマ, ミステリー, ラブロマンス, 戦争",77732,2005-03-12,"Jean-Pierre Jeunet",,
5,tt0305206,2026-02-08,2026-02-08,,"アメリカン・スプレンダー","American Splendor",https://www.imdb.com/title/tt0305206/,映画,7.4,101,2003,"バイオグラフィー, コメディ, ドラマ",54487,2003-09-12,"Shari Springer Berman, Robert Pulcini",,
6,tt3125324,2026-02-08,2026-02-08,,"Beyond the Lights","Beyond the Lights",https://www.imdb.com/title/tt3125324/,映画,6.8,116,2014,"ドラマ, 音楽, ラブロマンス",18180,2014-11-14,"Gina Prince-Bythewood",,
7,tt0411195,2026-02-08,2026-02-08,,"プルートで朝食を","Breakfast on Pluto",https://www.imdb.com/title/tt0411195/,映画,7.2,128,2005,"コメディ, ドラマ",26107,2006-06-10,"Neil Jordan",,
8,tt0810784,2026-02-08,2026-02-08,,"ブライト・スター　いちばん美しい恋の詩（うた）","Bright Star",https://www.imdb.com/title/tt0810784/,映画,6.9,119,2009,"バイオグラフィー, ドラマ, ラブロマンス",29662,2010-06-05,"Jane Campion",,
9,tt0421082,2026-02-08,2026-02-08,,"コントロール","Control",https://www.imdb.com/title/tt0421082/,映画,7.6,122,2007,"バイオグラフィー, ドラマ, 音楽",71329,2008-03-15,"Anton Corbijn",,
10,tt0254199,2026-02-08,2026-02-08,,"CQ","CQ",https://www.imdb.com/title/tt0254199/,映画,6.2,88,2001,"コメディ, ドラマ, SF",5214,2002-05-31,"Roman Coppola",,
