Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt0055630,2026-04-17,2026-04-17,"参考作品(山田)","用心棒","Yôjinbô",https://www.imdb.com/title/tt0055630/,映画,8.2,110,1961,"アクション, ドラマ, スリラー",142775,1961-04-25,"Akira Kurosawa",,
2,tt0110912,2026-04-17,2026-04-17,"バック・トゥ・ザ・フューチャー寄り(野津)","パルプ・フィクション","Pulp Fiction",https://www.imdb.com/title/tt0110912/,映画,8.8,154,1994,"犯罪, ドラマ",2429173,1994-10-08,"Quentin Tarantino",,
3,tt6802308,2026-04-17,2026-04-17,"世界仰天ニュースの再現V(野津)","15時17分、パリ行き","The 15:17 to Paris",https://www.imdb.com/title/tt6802308/,映画,5.3,94,2018,"バイオグラフィー, ドラマ, スリラー",37212,2018-03-01,"Clint Eastwood",,
4,tt0087884,2026-04-17,2026-04-17,"おしゃれな、映画好きっぽいやつ(野津)","パリ、テキサス","Paris, Texas",https://www.imdb.com/title/tt0087884/,映画,8.1,145,1984,"ドラマ",140352,1985-09-07,"Wim Wenders",,
5,tt0160127,2026-04-17,2026-04-17,"お色気アクションバカ映画(野津)","チャーリーズ・エンジェル","Charlie's Angels",https://www.imdb.com/title/tt0160127/,映画,5.7,98,2000,"アクション, アドベンチャー, コメディ, 犯罪, スリラー",207352,2000-11-11,"McG",,
6,tt0314331,2026-04-17,2026-04-17,"この映画を見て「映画をいっぱい見よう」って思った(山田)","ラブアクチュアリー","Love Actually",https://www.imdb.com/title/tt0314331/,映画,7.5,135,2003,"コメディ, ドラマ, ラブロマンス",579858,2004-02-07,"Richard Curtis",,
7,tt0175880,2026-04-17,2026-04-17,"「映画好きの人はこれを上手い映画だと思ってるんだな」って思えるのに最適(山田)","マグノリア","Magnolia",https://www.imdb.com/title/tt0175880/,映画,8.0,188,1999,"ドラマ",350184,2000-02-26,"Paul Thomas Anderson",,
8,tt0062622,2026-04-17,2026-04-17,"寝さそうとしてる？(山田)","2001年宇宙の旅","2001: A Space Odyssey",https://www.imdb.com/title/tt0062622/,映画,8.3,149,1968,"アドベンチャー, SF",781746,1968-04-11,"Stanley Kubrick",,
9,tt0816692,2026-04-17,2026-04-17,"親父は気づいて欲しそうな感じもある(山田)","インターステラー","Interstellar",https://www.imdb.com/title/tt0816692/,映画,8.7,169,2014,"アドベンチャー, ドラマ, SF",2515827,2014-11-22,"Christopher Nolan",,
10,tt1490017,2026-04-17,2026-04-17,"コメディ枠候補だが厳密にはキッズムービー(山田)","LEGO（R） ムービー","The Lego Movie",https://www.imdb.com/title/tt1490017/,映画,7.7,100,2014,"アニメーション, アクション, アドベンチャー, コメディ, ファミリー, ファンタジー, SF",414901,2014-03-21,"Phil Lord, Christopher Miller",,
